HTS,description,country,year,Customs Value,First Unit,Second Unit,Landed Duty-Paid Value,Dutiable Value,Calculated Duties,Import Charges,CIF Import Value
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Switzerland,2024.0,940754,1850646.0,0.0,1305488,940754,235189,129545,1070299
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Turkey,2024.0,42432873,72138418.0,0.0,56875256,42432873,10092461,4349922,46782795
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Ukraine,2024.0,6669816,9342870.0,0.0,7550911,0,0,881095,7550911
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",United Arab Emirates,2024.0,12581329,22558755.0,0.0,13873637,12581329,0,1292308,13873637
7214200000.0,"CONCRETE REINFORCING BARS AND RODS, IRON OR NONALLOY STEEL, NOT FURTHER WORKED THAN HOT-ROLLED OR HOT-DRAWN, INCLUDING THOSE TWISTED AFTER ROLLING",Vietnam,2024.0,29779414,56402952.0,0.0,44428483,29779414,7444858,7204211,36983625
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Austria,2024.0,18297,592.0,0.0,20187,18297,0,1890,20187
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Canada,2024.0,1491811,825825.0,0.0,1515031,37655,0,23220,1515031
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",China,2024.0,1772337,524574.0,0.0,2354146,1772337,560063,21746,1794083
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Dominican Republic,2024.0,50380,43952.0,0.0,53966,50380,0,3586,53966
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Germany,2024.0,8364,2287.0,0.0,8365,8364,0,1,8365
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",India,2024.0,39603,20018.0,0.0,40903,4084,0,1300,40903
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Italy,2024.0,830169,328951.0,0.0,925934,272836,68216,27549,857718
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Mexico,2024.0,2247099,990175.0,0.0,2254910,0,0,7811,2254910
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Netherlands,2024.0,95801,19222.0,0.0,115528,57895,14476,5251,101052
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Poland,2024.0,193555,58541.0,0.0,198414,74257,0,4859,198414
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",South Korea,2024.0,908367,503374.0,0.0,1006159,0,0,97792,1006159
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",United Kingdom,2024.0,89908,49897.0,0.0,107639,64692,16173,1558,91466
7306305010.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, FOR USE IN BOILERS, HEATERS, ETC",Vietnam,2024.0,484487,149006.0,0.0,621142,484487,118970,17685,502172
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Belgium,2024.0,2769,274.0,0.0,2772,2769,0,3,2772
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Canada,2024.0,261902,108561.0,0.0,266732,0,0,4830,266732
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",China,2024.0,655532,321597.0,0.0,912251,655532,184902,71817,727349
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",France,2024.0,441422,207482.0,0.0,581590,378611,94662,45506,486928
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Germany,2024.0,2838665,513514.0,0.0,3247419,128612,28777,379977,3218642
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",India,2024.0,54409661,39281270.0,0.0,74400010,53403869,13327419,6662930,61072591
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Italy,2024.0,1031389,361577.0,0.0,1259272,220139,55038,172845,1204234
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Japan,2024.0,252152,63687.0,0.0,259756,11164,2150,5454,257606
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Mexico,2024.0,21647109,11314111.0,0.0,22869219,2003016,500457,721653,22368762
7306305015.0,"TUBES, PIPES AND HOLLOW PROFILES, WELDED, CIRC CS, NESOI, OF IRON OR NONALLOY STEEL, WALL THCKNS 1.65MM OR MORE, COLD-DRAWN, NOT FOR BOILERS ETC",Netherlands,2024.0,3556,1025.0,0.0,3701,0,0,145,3701
